TimeStamp,CAN ID,PGN,Source Address,Signal,Raw Value,Physical Value,BusChannel
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P6CellNTC21,64,24.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P2CellNTC11,58,18.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC15,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC14,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P1CellNTC17,61,21.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC13,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC12,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC11,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P1CellNTC18,62,22.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC10,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC09,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC08,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P1CellNTC19,62,22.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC07,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC06,64,24.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC05,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P1CellNTC20,60,20.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC04,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC03,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC02,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P1CellNTC16,62,22.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P1CellNTC21,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC17,63,23.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P4CellNTC19,65,25.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P5CellNTC11,62,22.0,1
2023-08-29 09:03:43.579000+00:00,419367155,65288,243,P5CellNTC10,63,23.0,1
